student_id,name,group_name,enrollment_year
1,Student_1,CS-4-C,2021
2,Student_2,CS-1-B,2022
3,Student_3,CS-2-B,2024
4,Student_4,CS-4-C,2024
5,Student_5,CS-3-B,2021
6,Student_6,CS-4-A,2022
7,Student_7,CS-4-C,2023
8,Student_8,CS-3-B,2021
9,Student_9,CS-1-C,2022
10,Student_10,CS-2-A,2022
11,Student_11,CS-1-C,2022
12,Student_12,CS-4-C,2024
13,Student_13,CS-4-C,2024
14,Student_14,CS-4-A,2023
15,Student_15,CS-3-C,2024
16,Student_16,CS-2-B,2021
17,Student_17,CS-4-B,2024
18,Student_18,CS-2-B,2021
19,Student_19,CS-2-B,2023
20,Student_20,CS-2-A,2021
21,Student_21,CS-3-B,2022
22,Student_22,CS-2-B,2023
23,Student_23,CS-2-C,2023
24,Student_24,CS-4-B,2024
25,Student_25,CS-3-B,2023
26,Student_26,CS-3-A,2023
27,Student_27,CS-4-C,2022
28,Student_28,CS-3-A,2024
29,Student_29,CS-4-C,2024
30,Student_30,CS-3-A,2023
31,Student_31,CS-4-A,2021
32,Student_32,CS-3-C,2022
33,Student_33,CS-2-A,2021
34,Student_34,CS-2-B,2022
35,Student_35,CS-4-C,2023
36,Student_36,CS-3-B,2023
37,Student_37,CS-1-A,2024
38,Student_38,CS-4-B,2023
39,Student_39,CS-1-B,2021
40,Student_40,CS-4-C,2021
41,Student_41,CS-1-B,2023
42,Student_42,CS-1-C,2022
43,Student_43,CS-4-C,2023
44,Student_44,CS-2-A,2024
45,Student_45,CS-1-B,2021
46,Student_46,CS-4-C,2021
47,Student_47,CS-3-B,2021
48,Student_48,CS-2-B,2021
49,Student_49,CS-3-A,2022
50,Student_50,CS-1-A,2024
51,Student_51,CS-4-C,2024
52,Student_52,CS-2-A,2024
53,Student_53,CS-1-A,2024
54,Student_54,CS-4-B,2023
55,Student_55,CS-4-A,2021
56,Student_56,CS-3-A,2023
57,Student_57,CS-2-B,2024
58,Student_58,CS-3-C,2023
59,Student_59,CS-2-C,2021
60,Student_60,CS-3-A,2024
61,Student_61,CS-3-C,2022
62,Student_62,CS-4-B,2022
63,Student_63,CS-1-C,2023
64,Student_64,CS-2-B,2021
65,Student_65,CS-2-A,2021
66,Student_66,CS-2-C,2023
67,Student_67,CS-2-A,2022
68,Student_68,CS-3-B,2023
69,Student_69,CS-2-B,2023
70,Student_70,CS-4-C,2022
71,Student_71,CS-1-A,2023
72,Student_72,CS-2-B,2022
73,Student_73,CS-1-B,2021
74,Student_74,CS-1-C,2024
75,Student_75,CS-1-C,2024
76,Student_76,CS-1-B,2022
77,Student_77,CS-1-A,2024
78,Student_78,CS-4-C,2023
79,Student_79,CS-2-B,2021
80,Student_80,CS-2-B,2021
81,Student_81,CS-1-A,2021
82,Student_82,CS-4-C,2023
83,Student_83,CS-2-C,2024
84,Student_84,CS-2-B,2024
85,Student_85,CS-4-A,2022
86,Student_86,CS-1-C,2023
87,Student_87,CS-2-A,2023
88,Student_88,CS-3-C,2022
89,Student_89,CS-1-A,2022
90,Student_90,CS-4-B,2021
91,Student_91,CS-4-B,2023
92,Student_92,CS-2-A,2021
93,Student_93,CS-3-A,2023
94,Student_94,CS-2-C,2024
95,Student_95,CS-2-B,2024
96,Student_96,CS-1-B,2022
97,Student_97,CS-3-A,2024
98,Student_98,CS-1-A,2023
99,Student_99,CS-4-C,2021
100,Student_100,CS-2-B,2022
101,Student_101,CS-2-A,2021
102,Student_102,CS-3-A,2024
103,Student_103,CS-1-C,2021
104,Student_104,CS-1-A,2021
105,Student_105,CS-4-A,2022
106,Student_106,CS-4-B,2024
107,Student_107,CS-4-B,2024
108,Student_108,CS-3-B,2021
109,Student_109,CS-1-C,2024
110,Student_110,CS-1-B,2024
111,Student_111,CS-3-B,2023
112,Student_112,CS-2-A,2022
113,Student_113,CS-1-B,2022
114,Student_114,CS-2-A,2021
115,Student_115,CS-4-C,2022
116,Student_116,CS-2-A,2021
117,Student_117,CS-1-A,2024
118,Student_118,CS-2-A,2021
119,Student_119,CS-3-B,2023
120,Student_120,CS-2-A,2023
121,Student_121,CS-3-A,2023
122,Student_122,CS-1-A,2022
123,Student_123,CS-4-A,2024
124,Student_124,CS-1-B,2022
125,Student_125,CS-4-A,2024
126,Student_126,CS-1-B,2024
127,Student_127,CS-4-A,2022
128,Student_128,CS-1-B,2021
129,Student_129,CS-3-B,2022
130,Student_130,CS-2-A,2021
131,Student_131,CS-2-B,2023
132,Student_132,CS-3-B,2021
133,Student_133,CS-1-B,2021
134,Student_134,CS-2-C,2021
135,Student_135,CS-2-A,2023
136,Student_136,CS-2-A,2022
137,Student_137,CS-1-B,2023
138,Student_138,CS-2-B,2021
139,Student_139,CS-1-C,2021
140,Student_140,CS-3-A,2024
